Variable, Default, Description
AF,zeros, "(array) Angles of F-coils in degrees measured from the outward directed horizontal.  This assumes the left and right sides of the coil are vertical; only the top and bottom are slanted.  If this variable is not part of the namelist, it will be read from the 5th column of the first NFCOIL lines after the namelist."
AF2,zeros, "(array) Angles of F-coils in degrees measured from the outward directed horizontal.  This assumes the top and bottom of the coil are horizontal; only the left and right sides are slanted.  It is only used when AF=0.  If this variable is not part of the namelist, it will be read from the 6th column of the first NFCOIL lines after the namelist."
AMP2,zeros, "(array) Angles of magnetic probes in degrees. The measured poloidal magnetic field is given as BR cos(AMP2) + BZ sin(AMP2)."
AS,zeros, "(array) Angle of flux loop coils in degrees measured from the outward directed horizontal.  This assumes the left and right sides of the coil are vertical; only the top and bottom are slanted.  If this variable is not part of the namelist, it will be read from the 5th column of the NSILOP lines after the F-coils (if they are not in the namelist)."
AS2,zeros, "(array) Angle of flux loop coils in degrees measured from the outward directed horizontal.  This assumes the top and bottom of the coil are horizontal; only the left and right sides are slanted.  It is only used when ASI=0.  If this variable is not part of the namelist, it will be read from the 6th column of the NSILOP lines after the F-coils (if they are not in the namelist)."
AVS,zeros, "(array) Angles of vessel segments in degrees measured from the outward directed horizontal.  This assumes the left and right sides of the coil are vertical; only the top and bottom are slanted.  If this variable is not part of the namelist, it will be read from the 5th column of the first NVESEL lines after the E-coils (if they are not in the namelist)."
AVS2,zeros, "(array) Angles of vessel segments in degrees measured from the outward directed horizontal.  This assumes the top and bottom of the coil are horizontal; only the left and right sides are slanted.  It is only used when AVS=0.  If this variable is not part of the namelist, it will be read from the 6th column of the first NVESEL lines after the E-coils (if they are not in the namelist)."
ECID,, "(integer array) Indices where E-coil Green functions will be stored in table, it will be read from the 5th column of the first NECOIL lines after the flux loops (if they are not in the namelist)."
ECTURN,zeros, (array) Number of turns made by each E-coil
FCID,, (integer array) Indices where F-coil Green functions will be stored in table
FCTURN,zeros, (array) Number of turns made by each F-coil (this gets encoded in the Green function tables)
HACOIL,zeros, (array) Height of A-coils
HE,zeros, "(array) Height of E-coils, it will be read from the 4th column of the first NECOIL lines after the flux loops (if they are not in the namelist)."
HF,zeros, "(array) Height of F-coils, if this variable is not part of the namelist, it will be read from the 4th column of the first NFCOIL lines after the namelist."
HSI,zeros, "(array) Height of flux loop coils, if this variable is not part of the namelist, it will be read from the 4th column of the NSILOP lines after the F-coils (if they are not in the namelist)."
HVS,zeros, "(array) Height of vessel segments, it will be read from the 4th column of the first NVESEL lines after the E-coils (if they are not in the namelist)."
PATMP2,zeros, (array) Path lengths of closed loop magnetic probes in the poloidal plan.
RACOIL,zeros, (array) Major radius of A-coils
RE,zeros, "(array) Major radius of E-coils, it will be read from the 1st column of the first NECOIL lines after the flux loops (if they are not in the namelist)."
RF,zeros, "(array) Major radius of F-coils, if this variable is not part of the namelist, it will be read from the 1st column of the first NFCOIL lines after the namelist."
RVS,zeros, "(array) Major radius of vessel segments, it will be read from the 1st column of the first NVESEL lines after the E-coils (if they are not in the namelist)."
RSI,zeros, "(array) Major radius of flux loops in m, if this variable is not part of the namelist, it will be read from the 1st column of the NSILOP lines after the F-coils (if they are not in the namelist)."
RSISVS,zeros, (array) Resistivity of vessel segments
SMP2,zeros, (array) Lengths of magnetic probes in m
TURNFC,zeros, (array) Number of turns made by each set of F-coils (expected as part of EFIT the input and output currents)
VSID,, (integer array) Indices where vessel current Green functions will be stored in table
VSNAME,, (array) Name of vessel components
WACOIL,zeros, (array) Width of A-coils
WE,zeros, "(array) Width of E-coils, it will be read from the 3rd column of the first NECOIL lines after the flux loops (if they are not in the namelist)."
WF,zeros, "(array) Width of F-coils, if this variable is not part of the namelist, it will be read from the 3rd column of the first NFCOIL lines after the namelist."
WSI,zeros, "(array) Width of flux loop coils in, if this variable is not part of the namelist, it will be read from the 3rd column of the NSILOP lines after the f coils (if they are not in the namelist)."
WVS,zeros, "(array) Width of vessel segments, it will be read from the 3rd column of the first NVESEL lines after the e coils (if they are not in the namelist)."
XMP2,zeros, (array) major radius of magnetic probes in m
YMP2,zeros, (array) Z coordinates of magnetic probes in m
ZACOIL,zeros, (array) Z coordinates of a coils
ZE,zeros, "(array) Z coordinates of e coils, it will be read from the 2nd column of the first NECOIL lines after the flux loops (if they are not in the namelist)."
ZF,zeros, "(array) Z coordinates of f coils, if this variable is not part of the namelist, it will be read from the 2nd column of the first NFCOIL lines after the namelist."
ZVS,zeros, "(array) Z coordinates of vessel segments, it will be read from the 2nd column of the first NVESEL lines after the e coils (if they are not in the namelist)."
ZSI,zeros, "(array) Z coordinates of flux loops in m, if this variable is not part of the namelist, it will be read from the 2nd column of the NSILOP lines after the f coils (if they are not in the namelist)."
